N,Processes,ExecutionTime
500, 1, 0.18
500, 2, 0.10
500, 4, 0.06
500, 6, 0.04
500, 8, 0.04
500, 9, 0.08
1000, 1, 1.54
1000, 2, 0.82
1000, 4, 0.44
1000, 6, 0.36
1000, 8, 0.30
1000, 9, 0.50
1500, 1, 5.56
1500, 2, 2.92
1500, 4, 1.54
1500, 6, 1.24
1500, 8, 1.04
1500, 9, 1.76
2000, 1, 13.88
2000, 2, 7.30
2000, 4, 3.86
2000, 6, 3.08
2000, 8, 2.64
2000, 9, 4.42
2500, 1, 37.96
2500, 2, 19.96
2500, 4, 10.54
2500, 6, 8.44
2500, 8, 7.22
2500, 9, 12.14
3000, 1, 63.10
3000, 2, 33.20
3000, 4, 17.52
3000, 6, 14.02
3000, 8, 11.98
3000, 9, 20.12